a,sigma,r0,T,swap_length,K,price,vega,volga,delta,gamma
1.252139,0.285094,0.035820,3.516389,4,0.033837,0.05344383,0.17194079,-0.00035561,-0.03799820,0.02687879
1.516746,0.160298,0.034702,5.685122,2,0.035978,0.01823990,0.11684116,-0.00026927,-0.01197936,0.00786765
1.052741,0.075713,0.001442,3.544617,4,0.001360,0.01947108,0.25560710,-0.00193551,-0.00708672,0.00023912
0.486285,0.149326,0.008632,1.076285,4,0.006993,0.08690839,0.55972910,-0.04030562,0.40542683,0.73436952
0.330585,0.261882,0.029794,6.568631,2,0.036551,0.14618452,0.56479424,-0.11660822,-0.33729658,0.76772565
1.232017,0.165003,0.045946,3.241077,1,0.047932,0.02032260,0.12526767,-0.00054876,-0.01180050,0.00649332
1.297747,0.029085,0.004166,4.567707,3,0.004727,0.00453342,0.18178268,0.09794541,-0.00260113,0.00143391
1.741685,0.072345,0.004531,5.997922,1,0.004918,0.00694254,0.09844940,0.00045682,-0.00397943,0.00228103
0.615789,0.276016,0.010244,4.218933,1,0.009004,0.07113831,0.25492075,-0.00788020,-0.08218910,0.09131590
1.026364,0.178550,0.004738,3.587164,2,0.003716,0.04227397,0.23145723,-0.00323808,-0.02997334,0.02027232
0.183312,0.017828,0.027405,2.666996,3,0.031776,0.01465859,1.06441724,2.68491077,0.49210444,10.32652187
1.064170,0.289500,0.046318,2.127943,4,0.049942,0.06042887,0.22206552,-0.00422981,-0.01287877,-0.00694537
0.893351,0.052349,0.042815,1.133706,1,0.044978,0.00860708,0.17430788,0.00687667,0.10252446,0.72742277
0.475909,0.094265,0.024748,3.871173,4,0.029570,0.05316497,0.63673443,0.01921044,0.01449964,-0.08218991
1.229042,0.069553,0.026760,2.122178,4,0.032040,0.00643900,0.16826016,0.65299827,0.01182031,0.00998514
1.382334,0.104074,0.049211,2.712986,2,0.046763,0.01772752,0.13792811,0.03486666,-0.00492004,0.00001117
0.238396,0.239957,0.014774,3.190207,2,0.015167,0.18244845,0.74679810,-0.18563649,-0.12355901,-0.15392855
1.308555,0.236950,0.035746,2.633262,2,0.039730,0.03452283,0.15701962,0.00070012,-0.01623774,0.00668598
0.207961,0.146317,0.001920,6.139366,2,0.002133,0.13942346,0.94407541,-0.20495784,-0.29020503,0.47459301
1.023384,0.140730,0.047154,1.485256,4,0.042964,0.04273431,0.22990260,0.07094138,0.07358354,0.00874415
1.940376,0.240906,0.027796,1.060156,2,0.031931,0.02031654,0.09740662,0.00520944,0.01851671,0.00353522
0.612665,0.034031,0.031641,1.322223,4,0.038459,0.00674062,0.38246045,3.74850774,0.16715874,2.97567487
0.316597,0.217825,0.038874,2.236566,2,0.032789,0.13160038,0.56851041,-0.07694849,0.07815200,-0.26820281
1.147509,0.086246,0.026245,5.021994,3,0.025327,0.01832454,0.19138448,0.01367343,-0.01472184,0.01179642
0.682683,0.094213,0.041306,2.208394,4,0.049710,0.02715626,0.39201877,0.26277548,0.07254831,0.06146843
0.995041,0.088508,0.037265,2.339433,2,0.041745,0.01648423,0.21929453,0.04236006,0.01862473,-0.00283295
1.715573,0.152988,0.041817,1.175924,4,0.049756,0.00850656,0.10246135,0.18990298,0.01723454,0.02013686
0.985347,0.055814,0.031879,7.867620,1,0.036788,0.00631279,0.13857058,0.06861267,-0.00631254,0.00631186
0.639720,0.164399,0.005861,1.410043,4,0.006762,0.07356405,0.45710525,-0.02440425,0.19474994,0.12235768
0.424975,0.128664,0.010505,3.631155,4,0.010613,0.09928100,0.76688361,-0.10215694,-0.00840226,-0.13791664
1.881208,0.047370,0.038573,1.587209,4,0.047063,0.00006857,0.01017793,0.99401742,0.00036256,0.00167247
0.912650,0.299160,0.024672,3.363616,3,0.025223,0.08159387,0.27275309,-0.01161953,-0.06563302,0.05074663
0.431086,0.282222,0.034568,2.243257,1,0.037402,0.08294497,0.29625988,-0.01358493,0.00947086,-0.08550590
1.317378,0.143885,0.010730,2.043768,4,0.009952,0.02757838,0.17975131,0.00179493,0.00564703,-0.00792425
1.322687,0.135275,0.035803,3.979080,1,0.034361,0.01669540,0.11730730,0.00093287,-0.01130137,0.00761361
0.733825,0.115288,0.025349,1.243853,2,0.027134,0.03360365,0.30301985,-0.00282479,0.16239968,0.37423438
0.271827,0.145822,0.032400,4.645288,3,0.028280,0.13458116,0.86790228,-0.21563044,-0.14483941,-0.01125838
0.291185,0.271961,0.003560,4.538783,3,0.002289,0.26503932,0.93531418,-0.40581790,-0.47521678,0.76356512
0.958497,0.111060,0.034884,1.530429,2,0.041834,0.02070031,0.23077576,0.06179919,0.06426091,0.09083360
1.907802,0.222258,0.019837,3.277725,4,0.022410,0.01812608,0.09884384,0.01068040,-0.00907939,0.00454474
0.156584,0.271877,0.009481,1.023921,1,0.007903,0.09328802,0.33943528,-0.01728575,0.26640934,0.16702765
0.423770,0.037217,0.034422,5.004350,2,0.033767,0.01886598,0.47931236,0.01569056,0.02857198,-0.05157055
1.857048,0.232724,0.016408,4.875921,1,0.013326,0.02160108,0.08638653,0.00090716,-0.01160569,0.00623541
0.493000,0.011608,0.019164,3.623782,4,0.019034,0.00790108,0.63161743,0.18430737,0.12564223,1.06244826
1.716548,0.186152,0.010360,2.614924,2,0.011406,0.02093900,0.11782379,0.00038151,-0.00914161,0.00383986
0.186022,0.096691,0.033510,6.779390,1,0.036187,0.04306817,0.45356300,-0.02140191,-0.07008550,0.02834509
0.920956,0.298849,0.038276,5.036271,3,0.037829,0.07328543,0.23989983,-0.00980281,-0.07514350,0.07696860
1.098059,0.222285,0.010611,3.836058,4,0.011694,0.04943907,0.23077203,-0.00372042,-0.03847440,0.02966393
1.737700,0.275598,0.038014,5.071068,3,0.037407,0.02907119,0.09951599,0.00011092,-0.01669250,0.00958468
1.414277,0.202858,0.001919,4.601126,4,0.001825,0.03387976,0.16525739,-0.00141895,-0.02341383,0.01617806
1.322057,0.284211,0.029756,2.147395,1,0.029395,0.03656829,0.12684579,-0.00099412,-0.01134228,0.00118207
1.949736,0.182839,0.021017,3.840620,4,0.018891,0.02185763,0.09279137,0.01906576,-0.01105609,0.00559198
0.408592,0.078280,0.047441,1.375959,3,0.051586,0.04054649,0.56372595,0.00760690,0.35804659,1.64638591
0.305987,0.281770,0.029060,1.679091,4,0.028574,0.24182110,0.81909913,-0.32005075,0.15598857,-0.47470129
0.622778,0.259834,0.003543,5.465431,2,0.003941,0.10310546,0.39672512,-0.02698386,-0.14345436,0.19839552
1.205456,0.122354,0.044989,5.858591,1,0.037982,0.01707080,0.11212032,0.02577529,-0.01393818,0.01137936
1.204171,0.203613,0.033224,2.607661,4,0.032080,0.04184118,0.18977034,0.00090093,-0.01714323,0.00447285
0.490283,0.173656,0.030559,4.691586,4,0.033227,0.09886750,0.58476025,-0.07541686,-0.11762303,0.12125879
1.638969,0.019080,0.031163,4.580472,4,0.035267,0.00003726,0.01315675,3.00045228,-0.00001738,0.00000801
